,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,204,103,3,5,2,10,120,309,382,390,396,956,2238,1819,1964,0,0,0
4,222,117,126,226,235,600,870,686,604,877,2066,2593,2829,2577,0,0,0,0
5,6360,6468,6463,6358,6257,5881,5495,5394,5403,5130,3739,2356,630,0,0,0,0,0
1,1549,1549,1657,1659,1660,1661,1662,1711,1711,1711,1760,1811,1864,2015,2245,2878,3720,4488
2,8,107,3,1,0,1,49,0,0,49,51,53,151,230,633,842,768,0
3,102,1,1,2,4,52,61,107,104,55,104,267,411,502,698,768,0,0
4,203,67,116,153,206,214,304,310,313,356,462,626,856,1309,912,0,0,0
5,2626,2764,2711,2673,2618,2560,2412,2360,2360,2317,2111,1731,1206,432,0,0,0,0
1,2885,2885,3085,3098,3113,3129,3226,3256,3281,3283,3394,3580,3939,4372,5177,6218,8660,10486
2,36,117,11,84,78,93,32,40,17,111,186,359,433,805,1041,2442,1826,0
3,114,94,9,13,22,93,331,598,538,443,608,930,1151,868,1845,1826,0,0
4,388,204,281,295,868,1078,1019,981,1040,1115,1348,1605,1708,3695,2423,0,0,0
5,7063,7186,7100,6996,6405,6093,5878,5611,5610,5534,4950,4012,3255,746,0,0,0,0
1,2316,2316,2566,2576,2643,2654,2659,2728,2719,2719,2816,2916,3132,3311,3669,5005,7049,7425
2,64,194,12,62,6,10,69,19,28,97,100,216,179,358,1336,2044,376,0
3,136,61,33,15,21,79,138,319,302,233,291,400,586,1006,1349,376,0,0
4,503,195,220,292,474,567,859,880,899,510,653,1253,2174,2396,1071,0,0,0
5,4406,4659,4594,4480,4281,4115,3700,3479,3477,3866,3565,2640,1354,354,0,0,0,0
1,6039,6039,6699,6966,7095,7233,7500,7914,7887,7887,8448,8595,8889,9036,9624,11535,13446,13446
2,332,669,276,9,9,276,423,276,303,561,147,294,147,588,1911,1911,0,0
3,340,2,9,138,156,27,588,1048,846,588,588,735,1323,1911,1911,0,0,0
4,832,622,477,771,1250,1689,1570,1396,1517,882,1323,2205,3087,1911,0,0,0,0
5,5903,6114,5985,5562,4936,4221,3365,2812,2893,3528,2940,1617,0,0,0,0,0,0
1,5640,5640,6068,6220,6448,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
2,326,326,152,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,92,102,38,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0
4,542,380,342,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2345,2345,2482,2510,2581,2626,2702,2721,2676,2660,2746,2803,2901,3030,3329,3901,5287,5963
2,80,133,28,54,12,43,59,60,77,102,57,98,129,299,572,1386,676,0
3,76,10,50,20,37,118,167,275,134,111,167,287,254,159,290,676,0,0
4,275,158,134,231,394,810,788,631,607,405,525,562,686,1863,1772,0,0,0
5,3187,3317,3269,3148,2939,2366,2247,2276,2469,2685,2468,2213,1993,612,0,0,0,0
1,4895,4895,5520,5554,5736,5863,5989,6116,6221,6216,6642,6956,7550,7993,10007,11191,12782,12782
2,345,476,33,162,143,172,167,299,174,431,314,594,443,2014,1184,1591,0,0
3,145,155,149,28,19,20,603,918,1028,768,886,1305,2868,1301,1591,0,0,0
4,812,494,344,613,925,1504,1648,1638,1540,1895,3168,3041,1773,1474,0,0,0,0
5,6585,6762,6736,6425,5959,5223,4375,3811,3819,3472,1772,886,148,0,0,0,0,0
1,2519,2519,2686,2764,2787,2803,2805,2844,2788,2788,2863,2995,3123,3316,3602,4112,6082,6600
2,35,166,74,19,7,23,55,46,102,74,132,130,195,286,510,1970,518,0
3,154,19,10,15,66,88,185,305,197,232,228,344,390,596,1612,518,0,0
4,330,191,163,239,405,588,611,534,635,488,507,978,1582,2066,876,0,0,0
5,3562,3705,3667,3563,3335,3098,2944,2871,2878,3018,2870,2153,1310,336,0,0,0,0
1,2737,2737,2852,2963,3063,3163,3288,3383,3375,3370,3458,3606,3750,3858,4110,4794,5082,5082
2,61,122,110,24,13,68,94,61,69,93,148,144,108,252,684,288,0,0
3,146,40,13,80,87,57,73,162,234,215,180,252,468,720,288,0,0,0
4,235,160,152,198,316,377,403,360,288,288,432,936,756,252,0,0,0,0
5,1903,2023,1955,1817,1603,1417,1224,1116,1116,1116,864,144,0,0,0,0,0,0
1,2605,2605,2825,2902,2961,2969,3015,3075,3125,3125,3197,3324,3510,3709,4112,4849,6072,6072
2,141,162,73,13,7,46,60,92,42,72,127,187,200,403,737,1223,0,0
3,48,70,11,46,1,49,126,221,320,290,386,534,587,246,1082,0,0,0
4,378,189,128,286,377,440,632,677,578,771,855,1586,1617,1714,141,0,0,0
5,2900,3046,3035,2825,2726,2568,2239,2007,2007,1814,1507,441,158,0,0,0,0,0
1,3074,3074,3311,3424,3435,3441,3451,3567,3553,3553,3699,3940,4363,4601,5561,8315,11110,13000
2,53,222,113,9,6,10,117,113,126,146,241,423,238,960,2754,2795,1890,0
3,183,20,15,15,23,254,472,581,490,470,541,871,2502,2573,2706,1890,0,0
4,441,272,272,504,913,910,904,887,969,1069,2613,3310,2688,4866,1979,0,0,0
5,9249,9412,9289,9048,8623,8385,8056,7852,7862,7762,5906,4456,3209,0,0,0,0,0
1,5081,5081,5588,5738,5809,5902,6050,6186,6157,6157,6530,6949,7682,8888,9940,11974,15106,15106
2,224,480,150,35,15,154,146,373,396,373,419,733,1206,1052,2034,3132,0,0
3,422,140,35,54,206,397,552,794,798,821,947,1988,2006,2199,3132,0,0,0
4,802,542,482,783,1412,1277,1840,1845,1835,2206,2748,5436,4212,2967,0,0,0,0
5,8577,8863,8851,8496,7664,7376,6518,5908,5920,5549,4462,0,0,0,0,0,0,0
1,3015,3015,3120,3199,3274,3346,3356,3434,3365,3365,3526,3769,4028,4357,4964,6287,7820,7820
2,12,104,79,4,2,10,78,15,84,161,243,259,329,607,1323,1533,0,0
3,102,4,4,71,70,85,257,498,493,416,426,673,1249,1276,1533,0,0,0
4,338,172,241,344,461,704,882,799,800,852,1337,1729,1849,1580,0,0,0,0
5,4353,4525,4376,4202,4013,3675,3247,3074,3078,3026,2288,1390,365,0,0,0,0,0
1,2687,2687,2899,2924,2947,3034,3050,3073,3071,3071,3225,3470,3800,4271,5639,7503,7503,7503
